Elo	Username	W	L	T	Last update
1357	EeveeGirl_Star13	49	14	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1299	C5678	27	8	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1272	JimCool	12	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1266	Jaxndice20	64	38	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1246	TheZilla07	19	14	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1233	What How	14	9	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1231	447323a	24	12	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1230	Malarkey3072	6	7	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1229	Zenchaos	81	42	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1227	cap is good again	18	11	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1217	Mr.FireDude	9	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1214	Jrdyop	20	8	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1212	shitrock enjoyer	10	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1210	Aeran	6	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1195	DkKoba	8	9	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1190	ItzaDelta!	6	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1185	Pokrunk	5	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1178	JJLegend315k	10	14	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1166	syched	4	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1166	kingofironfrisk	5	4	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1157	Majorly Goodness	10	7	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1140	Shaun_CCGeek	5	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1137	squiddy_odd	9	20	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1136	ironbundleathome	5	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1135	timbobabwe	11	12	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1126	Swordisbored	4	6	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1122	Theviking52	3	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1122	TheArrivalAlex	3	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1121	Showdownvirg	3	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1119	Gekokeso	3	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1117	hshndbfbrnn	7	9	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1114	N0ob3rM4n	3	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1113	ihdikly	5	6	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1111	UDM31	4	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1108	C567	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1108	Aardvark1987	3	22	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1107	VMaks	6	19	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1107	slugmaVTuber	12	14	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1107	IrishHawk	5	9	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1104	theshinymimikyu4	3	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1104	carmoni	8	17	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1102	derBrachiale	2	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1102	Silhouetiquette	2	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1095	therealsolarflare	3	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1090	GLOOM'D	2	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1088	dw207	2	8	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1088	Timothy Uncool	3	11	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1084	stcjudchh	2	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1083	pateddery3	2	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1082	Batata370	2	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1081	Pixel Dael	5	12	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1081	lollifant	2	4	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1079	Sardiner2	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1076	Bimbibi	2	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1076	Lum x Duc	2	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1074	Timothy Lame	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1074	TCKeter	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1072	Lunarvania	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1072	l am Giovanni	2	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1070	edgcfhdgj	2	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	Sorryimmanoob	2	12	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	madelinetheperson3	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	wunsen	1	6	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	JustAFacade	2	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	AbstractPHF	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	paxonearth	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	Low-Key-G-Mazing	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	Patar136	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	Old Dance Jacket	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1063	Adults Failed Me	1	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1062	talhu	1	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1061	frick42064	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1061	DiggerBob	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1059	Poyourt	1	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1058	CBD Abuser	2	7	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
